Demonstrativo de Corretagem
Em:;10/10/2024 11:40

Filial:;VAREJO CONCESSIONARIA
Corretor:;99008599 - WIZ CONSEG CORRETORA DE SEGUROS LTDA
Estabelecimento:;34

Forma de Pagamento;Banco;Agencia;Conta Corrente
;;;
DOC nr.;Nr. Demonstrativo;Data de Pagto
0;69;09/10/2024

Totalizador
Total Bruto - R$;Desc. de Adiantamento - R$;Total Liquido - R$;IR - R$;ISS - R$;INSS - R$;Valor Liquido Pago - R$
0,00; 0,00;0,00;0,00;0,00;0,00;0,00

Marca;Segurado;Apolice;Endosso / Fatura;Parcela;Lancamento;Premio;% Comissao;Valor Comissao
YELUM;BARIGUI LOCADORA DE VEICULOS LTDA;539520240041681;0;'01/10;RECUP/ESTORNO;-73,73;15,00;-11,06
YELUM;BARIGUI LOCADORA DE VEICULOS LTDA;539520240041681;0;'02/10;RECUP/ESTORNO;-73,76;15,00;-11,06
YELUM;BARIGUI LOCADORA DE VEICULOS LTDA;539520240041681;0;'03/10;RECUP/ESTORNO;-73,76;15,00;-11,06
YELUM;BARIGUI LOCADORA DE VEICULOS LTDA;539520240041681;0;'04/10;RECUP/ESTORNO;-73,76;15,00;-11,06
YELUM;BARIGUI LOCADORA DE VEICULOS LTDA;539520240041681;0;'05/10;RECUP/ESTORNO;-73,76;15,00;-11,06
YELUM;BARIGUI LOCADORA DE VEICULOS LTDA;539520240041681;0;'06/10;RECUP/ESTORNO;-73,76;15,00;-11,06
YELUM;BARIGUI LOCADORA DE VEICULOS LTDA;539520240041681;0;'07/10;RECUP/ESTORNO;-73,76;15,00;-11,06
YELUM;BARIGUI LOCADORA DE VEICULOS LTDA;539520240042772;0;'01/10;PAGAMENTO;73,73;15,00;11,06
YELUM;BARIGUI LOCADORA DE VEICULOS LTDA;539520240042772;0;'02/10;ANTECIPACAO;73,76;15,00;11,06
YELUM;BARIGUI LOCADORA DE VEICULOS LTDA;539520240042772;0;'03/10;ANTECIPACAO;73,76;15,00;11,06
YELUM;BARIGUI LOCADORA DE VEICULOS LTDA;539520240042772;0;'04/10;ANTECIPACAO;73,76;15,00;11,06
YELUM;BARIGUI LOCADORA DE VEICULOS LTDA;539520240042772;0;'05/10;ANTECIPACAO;73,76;15,00;11,06
YELUM;BARIGUI LOCADORA DE VEICULOS LTDA;539520240042772;0;'06/10;ANTECIPACAO;73,76;15,00;11,06
YELUM;BARIGUI LOCADORA DE VEICULOS LTDA;539520240042772;0;'07/10;ANTECIPACAO;73,76;15,00;11,06
