Demonstrativo de Corretagem
Em:;28/10/2024 16:37

Filial:;VAREJO CONCESSIONARIA
Corretor:;99008599 - WIZ CONSEG CORRETORA DE SEGUROS LTDA
Estabelecimento:;56

Forma de Pagamento;Banco;Agencia;Conta Corrente
CREDITO C/C;33 - SANTANDER;4515/;1XXXXXX5-X
DOC nr.;Nr. Demonstrativo;Data de Pagto
353011;32;24/10/2024

Totalizador
Total Bruto - R$;Desc. de Adiantamento - R$;Total Liquido - R$;IR - R$;ISS - R$;INSS - R$;Valor Liquido Pago - R$
202,41; 0,00;202,41;0,00;4,05;0,00;198,36

Marca;Segurado;Apolice;Endosso / Fatura;Parcela;Lancamento;Premio;% Comissao;Valor Comissao
YELUM;BARIGUI LOCADORA DE VEICULOS LTDA;310020230589486;0;'03/12;RECUP/CANCELAMENTO;-362,00;10,00;-36,20
YELUM;BARIGUI LOCADORA DE VEICULOS LTDA;310020230589486;0;'04/12;RECUP/CANCELAMENTO;-362,00;10,00;-36,20
YELUM;BARIGUI LOCADORA DE VEICULOS LTDA;310020230589486;0;'05/12;RECUP/CANCELAMENTO;-362,00;10,00;-36,20
YELUM;BARIGUI LOCADORA DE VEICULOS LTDA;310020230589486;0;'06/12;RECUP/CANCELAMENTO;-362,00;10,00;-36,20
YELUM;BARIGUI LOCADORA DE VEICULOS LTDA;310020230589486;0;'07/12;RECUP/CANCELAMENTO;-362,00;10,00;-36,20
YELUM;BARIGUI LOCADORA DE VEICULOS LTDA;310020230589486;0;'08/12;RECUP/CANCELAMENTO;-362,00;10,00;-36,20
YELUM;BARIGUI LOCADORA DE VEICULOS LTDA;310020230589486;0;'09/12;RECUP/CANCELAMENTO;-362,00;10,00;-36,20
YELUM;BARIGUI LOCADORA DE VEICULOS LTDA;310020230589486;0;'10/12;RECUP/CANCELAMENTO;-362,00;10,00;-36,20
YELUM;BARIGUI LOCADORA DE VEICULOS LTDA;310020230589486;0;'11/12;RECUP/CANCELAMENTO;-362,00;10,00;-36,20
YELUM;BARIGUI LOCADORA DE VEICULOS LTDA;310020230589486;0;'12/12;RECUP/CANCELAMENTO;-362,00;10,00;-36,20
YELUM;BARIGUI LOCADORA DE VEICULOS LTDA;310020240773521;0;'01/12;PAGAMENTO;564,50;10,00;56,45
YELUM;BARIGUI LOCADORA DE VEICULOS LTDA;310020240773521;0;'02/12;ANTECIPACAO;564,51;10,00;56,44
YELUM;BARIGUI LOCADORA DE VEICULOS LTDA;310020240773521;0;'03/12;ANTECIPACAO;564,51;10,00;56,44
YELUM;BARIGUI LOCADORA DE VEICULOS LTDA;310020240773521;0;'04/12;ANTECIPACAO;564,51;10,00;56,44
YELUM;BARIGUI LOCADORA DE VEICULOS LTDA;310020240773521;0;'05/12;ANTECIPACAO;564,51;10,00;56,44
YELUM;BARIGUI LOCADORA DE VEICULOS LTDA;310020240773521;0;'06/12;ANTECIPACAO;564,51;10,00;56,44
YELUM;BARIGUI LOCADORA DE VEICULOS LTDA;310020240773521;0;'07/12;ANTECIPACAO;564,51;10,00;56,44
YELUM;BARIGUI LOCADORA DE VEICULOS LTDA;310020240773521;0;'08/12;ANTECIPACAO;564,51;10,00;56,44
YELUM;BARIGUI LOCADORA DE VEICULOS LTDA;310020240773521;0;'09/12;ANTECIPACAO;564,51;10,00;56,44
YELUM;BARIGUI LOCADORA DE VEICULOS LTDA;310020240773521;0;'10/12;ANTECIPACAO;564,51;10,00;56,44
