Demonstrativo de Corretagem;;;;;;;;
Em:;28/10/2024 16:34;;;;;;;
;;;;;;;;
Filial:;VAREJO CONCESSIONARIA;;;;;;;
Corretor:;99008599 - WIZ CONSEG CORRETORA DE SEGUROS LTDA;;;;;;;
Estabelecimento:;101;;;;;;;
;;;;;;;;
Forma de Pagamento;Banco;Agencia;Conta Corrente;;;;;
CREDITO C/C;33 - SANTANDER;4515/;1XXXXXX5-X;;;;;
DOC nr.;Nr. Demonstrativo;Data de Pagto;;;;;;
353011;4;24/10/2024;;;;;;
;;;;;;;;
Totalizador;;;;;;;;
Total Bruto - R$;Desc. de Adiantamento - R$;Total Liquido - R$;IR - R$;ISS - R$;INSS - R$;Valor Liquido Pago - R$;;
1.717,92;0;1.717,92;25,77;34,36;0;1.657,79;;
;;;;;;;;
Marca;Segurado;Apolice;Endosso / Fatura;Parcela;Lancamento;Premio;% Comissao;Valor Comissao
YELUM;VIA LOCADORA DE AUTOMOVEIS LTDA;3,1002E+14;0;'11/12;ANTECIPACAO;440,1;10;44
YELUM;VIA LOCADORA DE AUTOMOVEIS LTDA;3,1002E+14;0;'12/12;ANTECIPACAO;440,1;10;44
YELUM;VIA LOCADORA DE AUTOMOVEIS LTDA;3,1002E+14;0;'01/12;PAGAMENTO;566,82;10;56,68
YELUM;VIA LOCADORA DE AUTOMOVEIS LTDA;3,1002E+14;0;'02/12;ANTECIPACAO;566,81;10;56,67
YELUM;VIA LOCADORA DE AUTOMOVEIS LTDA;3,1002E+14;0;'03/12;ANTECIPACAO;566,81;10;56,67
YELUM;VIA LOCADORA DE AUTOMOVEIS LTDA;3,1002E+14;0;'04/12;ANTECIPACAO;566,81;10;56,67
YELUM;VIA LOCADORA DE AUTOMOVEIS LTDA;3,1002E+14;0;'05/12;ANTECIPACAO;566,81;10;56,67
YELUM;VIA LOCADORA DE AUTOMOVEIS LTDA;3,1002E+14;0;'06/12;ANTECIPACAO;566,81;10;56,67
YELUM;VIA LOCADORA DE AUTOMOVEIS LTDA;3,1002E+14;0;'07/12;ANTECIPACAO;566,81;10;56,67
YELUM;VIA LOCADORA DE AUTOMOVEIS LTDA;3,1002E+14;0;'08/12;ANTECIPACAO;566,81;10;56,67
YELUM;VIA LOCADORA DE AUTOMOVEIS LTDA;3,1002E+14;0;'09/12;ANTECIPACAO;566,81;10;56,67
YELUM;VIA LOCADORA DE AUTOMOVEIS LTDA;3,1002E+14;0;'10/12;ANTECIPACAO;566,81;10;56,67
YELUM;VIA LOCADORA DE AUTOMOVEIS LTDA;3,1002E+14;0;'01/12;PAGAMENTO;201,49;10;20,15
YELUM;VIA LOCADORA DE AUTOMOVEIS LTDA;3,1002E+14;0;'02/12;ANTECIPACAO;201,58;10;20,15
YELUM;VIA LOCADORA DE AUTOMOVEIS LTDA;3,1002E+14;0;'03/12;ANTECIPACAO;201,58;10;20,15
YELUM;VIA LOCADORA DE AUTOMOVEIS LTDA;3,1002E+14;0;'04/12;ANTECIPACAO;201,58;10;20,15
YELUM;VIA LOCADORA DE AUTOMOVEIS LTDA;3,1002E+14;0;'05/12;ANTECIPACAO;201,58;10;20,15
YELUM;VIA LOCADORA DE AUTOMOVEIS LTDA;3,1002E+14;0;'06/12;ANTECIPACAO;201,58;10;20,15
YELUM;VIA LOCADORA DE AUTOMOVEIS LTDA;3,1002E+14;0;'07/12;ANTECIPACAO;201,58;10;20,15
YELUM;VIA LOCADORA DE AUTOMOVEIS LTDA;3,1002E+14;0;'08/12;ANTECIPACAO;201,58;10;20,15
YELUM;VIA LOCADORA DE AUTOMOVEIS LTDA;3,1002E+14;0;'09/12;ANTECIPACAO;201,58;10;20,15
YELUM;VIA LOCADORA DE AUTOMOVEIS LTDA;3,1002E+14;0;'10/12;ANTECIPACAO;201,58;10;20,15
YELUM;VIA LOCADORA DE AUTOMOVEIS LTDA;3,1002E+14;0;'01/12;PAGAMENTO;440,11;10;44,01
YELUM;VIA LOCADORA DE AUTOMOVEIS LTDA;3,1002E+14;0;'02/12;ANTECIPACAO;440,1;10;44
YELUM;VIA LOCADORA DE AUTOMOVEIS LTDA;3,1002E+14;0;'03/12;ANTECIPACAO;440,1;10;44
YELUM;VIA LOCADORA DE AUTOMOVEIS LTDA;3,1002E+14;0;'04/12;ANTECIPACAO;440,1;10;44
YELUM;VIA LOCADORA DE AUTOMOVEIS LTDA;3,1002E+14;0;'05/12;ANTECIPACAO;440,1;10;44
YELUM;VIA LOCADORA DE AUTOMOVEIS LTDA;3,1002E+14;0;'06/12;ANTECIPACAO;440,1;10;44
YELUM;VIA LOCADORA DE AUTOMOVEIS LTDA;3,1002E+14;0;'07/12;ANTECIPACAO;440,1;10;44
YELUM;VIA LOCADORA DE AUTOMOVEIS LTDA;3,1002E+14;0;'08/12;ANTECIPACAO;440,1;10;44
YELUM;VIA LOCADORA DE AUTOMOVEIS LTDA;3,1002E+14;0;'09/12;ANTECIPACAO;440,1;10;44
YELUM;VIA LOCADORA DE AUTOMOVEIS LTDA;3,1002E+14;0;'10/12;ANTECIPACAO;440,1;10;44
YELUM;VIA LOCADORA DE AUTOMOVEIS LTDA;3,1002E+14;0;'01/12;PAGAMENTO;421,71;10;42,17
YELUM;VIA LOCADORA DE AUTOMOVEIS LTDA;3,1002E+14;0;'02/12;ANTECIPACAO;421,73;10;42,17
YELUM;VIA LOCADORA DE AUTOMOVEIS LTDA;3,1002E+14;0;'03/12;ANTECIPACAO;421,73;10;42,17
YELUM;VIA LOCADORA DE AUTOMOVEIS LTDA;3,1002E+14;0;'04/12;ANTECIPACAO;421,73;10;42,17
YELUM;VIA LOCADORA DE AUTOMOVEIS LTDA;3,1002E+14;0;'05/12;ANTECIPACAO;421,73;10;42,17
YELUM;VIA LOCADORA DE AUTOMOVEIS LTDA;3,1002E+14;0;'06/12;ANTECIPACAO;421,73;10;42,17
YELUM;VIA LOCADORA DE AUTOMOVEIS LTDA;3,1002E+14;0;'07/12;ANTECIPACAO;421,73;10;42,17
YELUM;VIA LOCADORA DE AUTOMOVEIS LTDA;3,1002E+14;0;'08/12;ANTECIPACAO;421,73;10;42,17
YELUM;VIA LOCADORA DE AUTOMOVEIS LTDA;3,1002E+14;0;'09/12;ANTECIPACAO;421,73;10;42,17
YELUM;VIA LOCADORA DE AUTOMOVEIS LTDA;3,1002E+14;0;'10/12;ANTECIPACAO;421,73;10;42,17
